abspath,shape_1,shape_2,shape_3,error,warning
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/0.jpg,3264,2448,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/10.jpg,4128,3096,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1013.jpg,3264,2448,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1014.jpg,4128,3096,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1019.jpg,3264,2448,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/102.jpg,3264,2448,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1023.jpg,4128,3096,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1024.jpg,3264,2448,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1026.jpg,4128,3096,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1027.jpg,4128,2322,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1033.jpg,4128,3096,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/104.jpg,4128,3096,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1040.jpg,3264,2448,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1056.jpg,3264,2448,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1059.jpg,4128,3096,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1061.jpg,3264,2448,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1070.jpg,3264,2448,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1071.jpg,3264,2448,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1077.jpg,4128,3096,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1079.jpg,3264,2448,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/109.jpg,3264,2448,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1093.jpg,3264,2448,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1100.jpg,3264,2448,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1105.jpg,4128,3096,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1123.jpg,4128,3096,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1131.jpg,4128,3096,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1134.jpg,4128,3096,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1136.jpg,4128,3096,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1139.jpg,4128,3096,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1154.jpg,3264,2448,3,,
../data/IntelMobileODT_Cervical_Cancer_Screening/train/Type_1/1161.jpg,3264,2448,3,,
